# Hint: check out the `eval` command in python.
{'Commute': 6.0877, 'Student-Teacher Ratio': 17.9, 'Poverty Rate': 16.2, 'TractID': 95326.0}
{'Commute': 2.7792, 'TractID': 75891.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 16.94}
{'Commute': 5.2447, 'TractID': 57831.0, 'Student-Teacher Ratio': 14.9, 'Poverty Rate': 4.59}
{'Poverty Rate': 19.31, 'Commute': 2.185, 'TractID': 58685.0, 'Student-Teacher Ratio': 20.2}
{'Student-Teacher Ratio': 20.2, 'Commute': 2.01, 'TractID': 74236.0, 'Poverty Rate': 16.04}
{'Student-Teacher Ratio': 20.2, 'TractID': 82520.0, 'Poverty Rate': 10.29, 'Commute': 2.8016}
{'Commute': 4.86, 'TractID': 67593.0, 'Poverty Rate': 8.33, 'Student-Teacher Ratio': 20.2}
{'Commute': 1.4672, 'Poverty Rate': 28.28, 'TractID': 89066.0, 'Student-Teacher Ratio': 20.2}
{'Commute': 5.02, 'Poverty Rate': 3.45, 'TractID': 46559.0, 'Student-Teacher Ratio': 14.7}
{'Commute': 5.4011, 'TractID': 79302.0, 'Student-Teacher Ratio': 18.3, 'Poverty Rate': 4.32}
{'Student-Teacher Ratio': 12.6, 'TractID': 48834.0, 'Commute': 7.309, 'Poverty Rate': 6.62}
{'TractID': 95394.0, 'Student-Teacher Ratio': 18.4, 'Commute': 2.5194, 'Poverty Rate': 12.64}
{'Student-Teacher Ratio': 21.0, 'Poverty Rate': 11.28, 'Commute': 3.7965, 'TractID': 94782.0}
{'Poverty Rate': 6.56, 'Commute': 7.8265, 'TractID': 69069.0, 'Student-Teacher Ratio': 19.1}
{'Poverty Rate': 3.53, 'Commute': 8.9067, 'Student-Teacher Ratio': 19.1, 'TractID': 52607.0}
{'TractID': 61285.0, 'Poverty Rate': 3.11, 'Student-Teacher Ratio': 14.7, 'Commute': 6.27}
{'Commute': 8.0555, 'TractID': 90378.0, 'Poverty Rate': 10.15, 'Student-Teacher Ratio': 19.1}
{'Student-Teacher Ratio': 19.2, 'TractID': 82167.0, 'Poverty Rate': 9.68, 'Commute': 3.3603}
{'Poverty Rate': 12.67, 'Commute': 2.5091, 'TractID': 77897.0, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 6.48, 'Commute': 2.3889, 'Student-Teacher Ratio': 21.0, 'TractID': 94476.0}
{'Poverty Rate': 20.34, 'Commute': 3.7598, 'TractID': 85465.0, 'Student-Teacher Ratio': 21.0}
{'TractID': 49441.0, 'Poverty Rate': 15.03, 'Student-Teacher Ratio': 21.2, 'Commute': 2.4699}
{'Poverty Rate': 13.6, 'Commute': 2.17, 'Student-Teacher Ratio': 19.2, 'TractID': 94783.0}
{'Poverty Rate': 8.1, 'Student-Teacher Ratio': 18.9, 'TractID': 46714.0, 'Commute': 6.497999999999999}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 14.0, 'Commute': 1.7523, 'TractID': 63933.0}
{'Student-Teacher Ratio': 14.7, 'Commute': 2.4219999999999997, 'TractID': 45470.0, 'Poverty Rate': 11.64}
{'TractID': 59575.0, 'Poverty Rate': 9.42, 'Student-Teacher Ratio': 20.9, 'Commute': 2.7778}
{'Student-Teacher Ratio': 17.8, 'TractID': 54791.0, 'Poverty Rate': 4.82, 'Commute': 2.7006}
{'Commute': 4.3665, 'Student-Teacher Ratio': 18.6, 'TractID': 76551.0, 'Poverty Rate': 6.58}
{'TractID': 90859.0, 'Poverty Rate': 8.61, 'Student-Teacher Ratio': 12.6, 'Commute': 7.309}
{'Student-Teacher Ratio': 20.1, 'TractID': 60787.0, 'Commute': 1.85, 'Poverty Rate': 17.78}
{'Student-Teacher Ratio': 16.0, 'Commute': 5.9604, 'Poverty Rate': 7.39, 'TractID': 45932.0}
{'TractID': 56296.0, 'Poverty Rate': 3.01, 'Student-Teacher Ratio': 14.9, 'Commute': 5.2119}
{'TractID': 54777.0, 'Commute': 2.88, 'Student-Teacher Ratio': 17.4, 'Poverty Rate': 9.89}
{'Commute': 1.3216, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 26.82, 'TractID': 46385.0}
{'Poverty Rate': 5.19, 'TractID': 85336.0, 'Student-Teacher Ratio': 16.6, 'Commute': 7.0355}
{'Student-Teacher Ratio': 20.2, 'TractID': 77116.0, 'Poverty Rate': 21.78, 'Commute': 1.3861}
{'Poverty Rate': 8.94, 'Student-Teacher Ratio': 18.7, 'TractID': 95368.0, 'Commute': 4.5026}
{'Poverty Rate': 18.8, 'TractID': 55069.0, 'Commute': 5.6894, 'Student-Teacher Ratio': 17.9}
{'Commute': 3.0992, 'Student-Teacher Ratio': 18.4, 'TractID': 69998.0, 'Poverty Rate': 6.47}
{'Poverty Rate': 11.48, 'TractID': 45842.0, 'Commute': 2.7227, 'Student-Teacher Ratio': 20.2}
{'Commute': 1.1742, 'TractID': 93579.0, 'Poverty Rate': 34.77, 'Student-Teacher Ratio': 20.2}
{'Commute': 1.7364, 'Student-Teacher Ratio': 14.7, 'TractID': 94570.0, 'Poverty Rate': 16.14}
{'Poverty Rate': 12.79, 'TractID': 84312.0, 'Commute': 5.4159, 'Student-Teacher Ratio': 19.6}
{'Poverty Rate': 25.79, 'Student-Teacher Ratio': 20.2, 'TractID': 71856.0, 'Commute': 1.8195}
{'Student-Teacher Ratio': 17.9, 'Poverty Rate': 6.36, 'TractID': 63543.0, 'Commute': 8.5353}
{'Student-Teacher Ratio': 14.7, 'Commute': 1.4191, 'TractID': 49246.0, 'Poverty Rate': 27.8}
{'TractID': 49462.0, 'Poverty Rate': 17.93, 'Student-Teacher Ratio': 19.1, 'Commute': 2.0869}
{'Poverty Rate': 20.37, 'Student-Teacher Ratio': 20.2, 'Commute': 1.98, 'TractID': 46842.0}
{'TractID': 51434.0, 'Poverty Rate': 11.5, 'Commute': 3.945, 'Student-Teacher Ratio': 18.4}
{'Poverty Rate': 9.8, 'Student-Teacher Ratio': 16.9, 'TractID': 92100.0, 'Commute': 6.1}
{'TractID': 95447.0, 'Poverty Rate': 12.12, 'Student-Teacher Ratio': 14.7, 'Commute': 1.6102}
{'TractID': 55754.0, 'Student-Teacher Ratio': 20.2, 'Commute': 2.2616, 'Poverty Rate': 18.13}
{'Poverty Rate': 9.43, 'Commute': 6.8147, 'Student-Teacher Ratio': 16.8, 'TractID': 61208.0}
{'Student-Teacher Ratio': 18.0, 'Commute': 3.4952, 'Poverty Rate': 11.34, 'TractID': 49685.0}
{'TractID': 48930.0, 'Commute': 5.4007, 'Student-Teacher Ratio': 19.0, 'Poverty Rate': 7.22}
{'Poverty Rate': 11.08, 'Commute': 4.51, 'TractID': 66656.0, 'Student-Teacher Ratio': 18.6}
{'Poverty Rate': 10.3, 'Commute': 2.7474, 'TractID': 46487.0, 'Student-Teacher Ratio': 17.8}
{'TractID': 46307.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 14.65, 'Commute': 2.5671}
{'TractID': 91534.0, 'Poverty Rate': 14.27, 'Student-Teacher Ratio': 19.1, 'Commute': 2.1974}
{'Poverty Rate': 23.98, 'TractID': 65287.0, 'Student-Teacher Ratio': 20.2, 'Commute': 1.9879}
{'Student-Teacher Ratio': 16.6, 'TractID': 53491.0, 'Commute': 3.3175, 'Poverty Rate': 6.29}
{'Poverty Rate': 13.58, 'Student-Teacher Ratio': 21.0, 'Commute': 4.37, 'TractID': 95783.0}
{'Poverty Rate': 13.0, 'Student-Teacher Ratio': 18.6, 'TractID': 83090.0, 'Commute': 4.428999999999999}
{'TractID': 61993.0, 'Student-Teacher Ratio': 15.3, 'Commute': 4.09, 'Poverty Rate': 4.98}
{'Commute': 2.7301, 'Poverty Rate': 12.04, 'TractID': 86949.0, 'Student-Teacher Ratio': 17.8}
{'Commute': 1.4608, 'TractID': 67219.0, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 29.53}
{'Student-Teacher Ratio': 18.6, 'TractID': 84999.0, 'Commute': 4.428999999999999, 'Poverty Rate': 6.59}
{'Commute': 1.8629, 'Student-Teacher Ratio': 20.2, 'TractID': 69268.0, 'Poverty Rate': 14.52}
{'Student-Teacher Ratio': 18.5, 'Poverty Rate': 8.44, 'TractID': 86205.0, 'Commute': 3.7476}
{'Poverty Rate': 6.27, 'TractID': 84658.0, 'Commute': 5.9604, 'Student-Teacher Ratio': 16.0}
{'Commute': 2.206, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 24.1, 'TractID': 95681.0}
{'Student-Teacher Ratio': 21.0, 'TractID': 52684.0, 'Poverty Rate': 16.51, 'Commute': 4.4546}
{'Student-Teacher Ratio': 15.1, 'TractID': 75126.0, 'Poverty Rate': 3.95, 'Commute': 8.3248}
{'TractID': 87303.0, 'Commute': 3.03, 'Student-Teacher Ratio': 17.8, 'Poverty Rate': 7.99}
{'Student-Teacher Ratio': 20.2, 'Commute': 2.5329, 'TractID': 55423.0, 'Poverty Rate': 11.66}
{'Student-Teacher Ratio': 17.8, 'TractID': 86923.0, 'Commute': 3.02, 'Poverty Rate': 9.08}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.3567, 'Poverty Rate': 3.73, 'TractID': 57472.0}
{'Student-Teacher Ratio': 17.8, 'Poverty Rate': 9.14, 'Commute': 4.9671, 'TractID': 52351.0}
{'Commute': 1.81, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 7.71, 'TractID': 46951.0}
{'Student-Teacher Ratio': 17.4, 'Commute': 2.8944, 'TractID': 48639.0, 'Poverty Rate': 4.14}
{'TractID': 93391.0, 'Commute': 5.615, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 10.56}
{'TractID': 93973.0, 'Student-Teacher Ratio': 17.4, 'Commute': 3.2157, 'Poverty Rate': 3.13}
{'TractID': 62346.0, 'Poverty Rate': 17.16, 'Commute': 2.0635, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 17.09, 'Commute': 2.548, 'Student-Teacher Ratio': 17.8, 'TractID': 81047.0}
{'Commute': 1.4254, 'TractID': 90196.0, 'Poverty Rate': 22.98, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 17.73, 'TractID': 61952.0, 'Commute': 2.3552, 'Student-Teacher Ratio': 20.2}
{'TractID': 95276.0, 'Commute': 3.9769, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 18.72}
{'Poverty Rate': 23.98, 'Student-Teacher Ratio': 18.6, 'TractID': 72629.0, 'Commute': 3.665}
{'Commute': 5.6484, 'Poverty Rate': 2.97, 'TractID': 46203.0, 'Student-Teacher Ratio': 14.4}
{'Commute': 3.9175, 'Poverty Rate': 13.65, 'TractID': 45665.0, 'Student-Teacher Ratio': 18.6}
{'Commute': 2.0063, 'Poverty Rate': 17.58, 'TractID': 94438.0, 'Student-Teacher Ratio': 19.1}
{'Commute': 6.6115, 'TractID': 87558.0, 'Student-Teacher Ratio': 16.1, 'Poverty Rate': 10.24}
{'Poverty Rate': 23.37, 'TractID': 59932.0, 'Student-Teacher Ratio': 20.2, 'Commute': 2.15}
{'Poverty Rate': 20.85, 'Commute': 1.7281, 'Student-Teacher Ratio': 20.2, 'TractID': 93057.0}
{'Poverty Rate': 21.32, 'Commute': 1.6686, 'TractID': 80666.0, 'Student-Teacher Ratio': 21.2}
{'Commute': 4.7211, 'Student-Teacher Ratio': 19.6, 'TractID': 45810.0, 'Poverty Rate': 6.12}
{'Student-Teacher Ratio': 17.4, 'TractID': 61720.0, 'Commute': 3.3751, 'Poverty Rate': 3.92}
{'Student-Teacher Ratio': 21.0, 'TractID': 93784.0, 'Poverty Rate': 14.81, 'Commute': 4.6819999999999995}
{'Poverty Rate': 10.58, 'Student-Teacher Ratio': 20.2, 'Commute': 3.9917, 'TractID': 82151.0}
{'Commute': 5.7209, 'Student-Teacher Ratio': 17.9, 'Poverty Rate': 4.84, 'TractID': 46838.0}
{'Poverty Rate': 17.12, 'Commute': 1.7257, 'Student-Teacher Ratio': 20.2, 'TractID': 56428.0}
{'Poverty Rate': 9.54, 'Student-Teacher Ratio': 17.4, 'Commute': 4.148, 'TractID': 72209.0}
{'Student-Teacher Ratio': 14.7, 'Poverty Rate': 26.42, 'Commute': 1.4118, 'TractID': 74272.0}
{'Commute': 3.7872, 'Student-Teacher Ratio': 21.0, 'TractID': 45952.0, 'Poverty Rate': 18.35}
{'Poverty Rate': 7.14, 'Student-Teacher Ratio': 16.6, 'TractID': 92953.0, 'Commute': 7.3172}
{'TractID': 67681.0, 'Student-Teacher Ratio': 16.6, 'Poverty Rate': 9.04, 'Commute': 2.6463}
{'Commute': 1.6334, 'TractID': 95508.0, 'Poverty Rate': 19.92, 'Student-Teacher Ratio': 20.2}
{'Commute': 12.1265, 'TractID': 89588.0, 'Student-Teacher Ratio': 17.0, 'Poverty Rate': 4.5}
{'TractID': 53022.0, 'Commute': 6.8147, 'Student-Teacher Ratio': 16.8, 'Poverty Rate': 5.28}
{'Poverty Rate': 11.22, 'Commute': 7.0355, 'TractID': 82683.0, 'Student-Teacher Ratio': 16.6}
{'Student-Teacher Ratio': 20.2, 'TractID': 45985.0, 'Commute': 1.5192, 'Poverty Rate': 21.08}
{'TractID': 62157.0, 'Student-Teacher Ratio': 19.1, 'Poverty Rate': 3.54, 'Commute': 8.9067}
{'Student-Teacher Ratio': 13.0, 'Commute': 2.872, 'Poverty Rate': 3.16, 'TractID': 78720.0}
{'Commute': 4.5404, 'Student-Teacher Ratio': 19.6, 'Poverty Rate': 7.2, 'TractID': 47711.0}
{'Student-Teacher Ratio': 17.4, 'Commute': 3.2721, 'TractID': 90622.0, 'Poverty Rate': 7.6}
{'Student-Teacher Ratio': 20.9, 'Poverty Rate': 7.67, 'Commute': 2.8561, 'TractID': 95402.0}
{'Student-Teacher Ratio': 14.7, 'Commute': 2.1, 'Poverty Rate': 11.1, 'TractID': 86318.0}
{'Poverty Rate': 17.49, 'Commute': 2.06, 'TractID': 80523.0, 'Student-Teacher Ratio': 20.2}
{'TractID': 60405.0, 'Poverty Rate': 10.72, 'Commute': 4.26, 'Student-Teacher Ratio': 20.2}
{'Student-Teacher Ratio': 16.0, 'Commute': 5.5027, 'Poverty Rate': 10.4, 'TractID': 83493.0}
{'Commute': 6.0622, 'TractID': 48213.0, 'Poverty Rate': 5.33, 'Student-Teacher Ratio': 18.7}
{'TractID': 54427.0, 'Commute': 1.7494, 'Poverty Rate': 15.12, 'Student-Teacher Ratio': 14.7}
{'Poverty Rate': 5.1, 'Commute': 4.05, 'Student-Teacher Ratio': 15.3, 'TractID': 49286.0}
{'TractID': 95461.0, 'Commute': 5.118, 'Poverty Rate': 3.81, 'Student-Teacher Ratio': 14.7}
{'Commute': 3.9986, 'TractID': 93169.0, 'Student-Teacher Ratio': 18.4, 'Poverty Rate': 18.33}
{'TractID': 47068.0, 'Student-Teacher Ratio': 20.1, 'Poverty Rate': 29.68, 'Commute': 1.8226}
{'TractID': 51773.0, 'Commute': 4.8122, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 8.51}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.2024, 'TractID': 95434.0, 'Poverty Rate': 2.96}
{'Poverty Rate': 2.94, 'Student-Teacher Ratio': 18.7, 'TractID': 68914.0, 'Commute': 6.0622}
{'Commute': 4.7872, 'Poverty Rate': 6.05, 'TractID': 69533.0, 'Student-Teacher Ratio': 17.6}
{'Student-Teacher Ratio': 16.4, 'TractID': 79507.0, 'Poverty Rate': 13.51, 'Commute': 3.1121}
{'TractID': 79736.0, 'Poverty Rate': 9.5, 'Student-Teacher Ratio': 19.7, 'Commute': 7.9809}
{'Student-Teacher Ratio': 19.2, 'Commute': 2.3999, 'Poverty Rate': 15.1, 'TractID': 59513.0}
{'Student-Teacher Ratio': 14.7, 'Poverty Rate': 6.43, 'TractID': 49707.0, 'Commute': 1.7573}
{'Student-Teacher Ratio': 13.0, 'TractID': 50834.0, 'Commute': 2.1398, 'Poverty Rate': 7.26}
{'TractID': 51247.0, 'Poverty Rate': 17.11, 'Student-Teacher Ratio': 20.2, 'Commute': 1.9265}
{'Commute': 1.9512, 'Student-Teacher Ratio': 20.2, 'TractID': 58277.0, 'Poverty Rate': 14.1}
{'Commute': 4.5667, 'Poverty Rate': 4.56, 'TractID': 46800.0, 'Student-Teacher Ratio': 15.2}
{'Student-Teacher Ratio': 14.7, 'TractID': 95757.0, 'Commute': 1.94, 'Poverty Rate': 3.28}
{'TractID': 53721.0, 'Commute': 2.1675, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 5.64}
{'TractID': 48684.0, 'Student-Teacher Ratio': 17.9, 'Commute': 8.6966, 'Poverty Rate': 4.81}
{'Poverty Rate': 15.02, 'Student-Teacher Ratio': 20.2, 'TractID': 95203.0, 'Commute': 1.8589}
{'Poverty Rate': 4.7, 'Student-Teacher Ratio': 19.2, 'Commute': 5.1167, 'TractID': 78322.0}
{'TractID': 65994.0, 'Student-Teacher Ratio': 17.8, 'Commute': 2.9879, 'Poverty Rate': 13.98}
{'Poverty Rate': 8.05, 'TractID': 50542.0, 'Commute': 3.6519, 'Student-Teacher Ratio': 17.4}
{'TractID': 73707.0, 'Poverty Rate': 29.64, 'Commute': 6.12, 'Student-Teacher Ratio': 15.2}
{'Poverty Rate': 13.59, 'TractID': 66198.0, 'Student-Teacher Ratio': 19.2, 'Commute': 2.3817}
{'Poverty Rate': 14.36, 'Commute': 2.8965, 'Student-Teacher Ratio': 20.2, 'TractID': 95062.0}
{'TractID': 45766.0, 'Student-Teacher Ratio': 20.2, 'Commute': 2.0026, 'Poverty Rate': 18.05}
{'Commute': 3.6023, 'Student-Teacher Ratio': 18.4, 'Poverty Rate': 9.28, 'TractID': 63947.0}
{'Commute': 2.162, 'Student-Teacher Ratio': 14.7, 'TractID': 80283.0, 'Poverty Rate': 3.32}
{'TractID': 91091.0, 'Commute': 2.3887, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 12.03}
{'Commute': 2.9, 'Poverty Rate': 17.74, 'Student-Teacher Ratio': 20.2, 'TractID': 94890.0}
{'TractID': 92731.0, 'Student-Teacher Ratio': 13.0, 'Poverty Rate': 11.25, 'Commute': 2.0788}
{'Poverty Rate': 5.21, 'Commute': 6.0622, 'Student-Teacher Ratio': 18.7, 'TractID': 90135.0}
{'Commute': 1.7883, 'Student-Teacher Ratio': 21.2, 'TractID': 95428.0, 'Poverty Rate': 17.19}
{'TractID': 61599.0, 'Commute': 4.0952, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 19.88}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.8746, 'TractID': 56089.0, 'Poverty Rate': 15.7}
{'TractID': 85996.0, 'Poverty Rate': 4.38, 'Commute': 6.2196, 'Student-Teacher Ratio': 15.6}
{'Student-Teacher Ratio': 18.7, 'TractID': 94121.0, 'Poverty Rate': 12.34, 'Commute': 5.0141}
{'TractID': 59156.0, 'Commute': 4.2515, 'Poverty Rate': 6.78, 'Student-Teacher Ratio': 18.7}
{'TractID': 93839.0, 'Commute': 7.3967, 'Poverty Rate': 3.59, 'Student-Teacher Ratio': 19.1}
{'Commute': 5.4159, 'Student-Teacher Ratio': 19.6, 'Poverty Rate': 6.15, 'TractID': 83892.0}
{'Student-Teacher Ratio': 18.5, 'Poverty Rate': 8.77, 'Commute': 3.77, 'TractID': 86561.0}
{'Poverty Rate': 14.76, 'Student-Teacher Ratio': 20.2, 'TractID': 92503.0, 'Commute': 2.8237}
{'TractID': 92022.0, 'Commute': 3.1992, 'Student-Teacher Ratio': 17.8, 'Poverty Rate': 4.45}
{'Student-Teacher Ratio': 20.2, 'TractID': 74651.0, 'Poverty Rate': 19.92, 'Commute': 2.27}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.8347, 'Poverty Rate': 29.05, 'TractID': 47464.0}
{'TractID': 94333.0, 'Student-Teacher Ratio': 14.7, 'Commute': 1.5296, 'Poverty Rate': 28.32}
{'Student-Teacher Ratio': 20.2, 'Commute': 2.8715, 'Poverty Rate': 17.15, 'TractID': 88209.0}
{'Poverty Rate': 9.38, 'TractID': 46967.0, 'Commute': 3.9454, 'Student-Teacher Ratio': 18.6}
{'Student-Teacher Ratio': 20.2, 'Commute': 3.0993, 'TractID': 65742.0, 'Poverty Rate': 12.87}
{'TractID': 90707.0, 'Commute': 9.1876, 'Poverty Rate': 5.77, 'Student-Teacher Ratio': 17.3}
{'TractID': 53714.0, 'Poverty Rate': 12.33, 'Student-Teacher Ratio': 20.9, 'Commute': 2.421}
{'TractID': 73812.0, 'Commute': 2.7592, 'Poverty Rate': 13.61, 'Student-Teacher Ratio': 17.8}
{'Poverty Rate': 15.76, 'Commute': 2.4631, 'Student-Teacher Ratio': 17.8, 'TractID': 80595.0}
{'Commute': 3.4952, 'Student-Teacher Ratio': 18.0, 'Poverty Rate': 3.57, 'TractID': 94535.0}
{'TractID': 81797.0, 'Commute': 6.8185, 'Poverty Rate': 14.44, 'Student-Teacher Ratio': 19.7}
{'Student-Teacher Ratio': 17.8, 'TractID': 46342.0, 'Commute': 2.6775, 'Poverty Rate': 10.16}
{'Poverty Rate': 17.6, 'Student-Teacher Ratio': 19.2, 'Commute': 2.7986, 'TractID': 94980.0}
{'Poverty Rate': 24.16, 'TractID': 81019.0, 'Student-Teacher Ratio': 21.2, 'Commute': 1.6119}
{'Poverty Rate': 11.32, 'Commute': 2.2625, 'TractID': 46290.0, 'Student-Teacher Ratio': 14.7}
{'Commute': 3.2628, 'Student-Teacher Ratio': 18.4, 'TractID': 95265.0, 'Poverty Rate': 7.9}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 13.99, 'Commute': 2.7344, 'TractID': 85821.0}
{'Student-Teacher Ratio': 20.2, 'TractID': 48569.0, 'Poverty Rate': 21.52, 'Commute': 1.9356}
{'Commute': 4.2673, 'TractID': 48268.0, 'Student-Teacher Ratio': 17.6, 'Poverty Rate': 2.98}
{'Student-Teacher Ratio': 17.8, 'Commute': 2.3534, 'Poverty Rate': 16.21, 'TractID': 86567.0}
{'Student-Teacher Ratio': 21.0, 'TractID': 90424.0, 'Commute': 4.2330000000000005, 'Poverty Rate': 22.6}
{'Commute': 3.6715, 'TractID': 58556.0, 'Student-Teacher Ratio': 17.4, 'Poverty Rate': 11.65}
{'Poverty Rate': 3.56, 'TractID': 88956.0, 'Commute': 5.1167, 'Student-Teacher Ratio': 19.2}
{'TractID': 49816.0, 'Poverty Rate': 10.35, 'Commute': 3.43, 'Student-Teacher Ratio': 16.4}
{'Student-Teacher Ratio': 20.2, 'TractID': 47325.0, 'Poverty Rate': 22.11, 'Commute': 1.8662}
{'Poverty Rate': 6.72, 'Student-Teacher Ratio': 19.2, 'TractID': 49914.0, 'Commute': 5.2873}
{'Commute': 3.6519, 'TractID': 65170.0, 'Student-Teacher Ratio': 17.4, 'Poverty Rate': 3.95}
{'TractID': 81400.0, 'Poverty Rate': 12.96, 'Student-Teacher Ratio': 18.5, 'Commute': 4.35}
{'Student-Teacher Ratio': 20.2, 'TractID': 79222.0, 'Poverty Rate': 26.45, 'Commute': 1.9142}
{'Commute': 1.8773, 'TractID': 66408.0, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 4.59}
